Breadcrumb(Category),Category,Product name,Pricing,Available size,url
iconArrowCircleLeft戻る/トップ/メンズ/ウェア・服/トップス/ジャージ/オリジナルス/ベッケンバウアー/アディカラー クラシック/アディカラー クラシックス ベッケンバウアー トラックトップ（ジャージ）,オリジナルス,アディカラー クラシックス ベッケンバウアー トラックトップ（ジャージ）,13200,"XS, S, M, L, XL, 2XL, 3XL",https://shop.adidas.jp/products/II5763
iconArrowCircleLeft戻る/トップ/メンズ/ウェア・服/トップス/ジャージ/オリジナルス/ベッケンバウアー/アディカラー クラシック/アディカラー クラシックス ベッケンバウアー トラックトップ（ジャージ）,オリジナルス,アディカラー クラシックス ベッケンバウアー トラックトップ（ジャージ）,13200,"XS, S, M, L, XL, 2XL, 3XL",https://shop.adidas.jp/products/IP0418
iconArrowCircleLeft戻る/トップ/メンズ/ウェア・服/トップス/ジャージ/オリジナルス/ベッケンバウアー/アディカラー クラシック/アディカラー クラシックス ベッケンバウアー トラックトップ（ジャージ）,オリジナルス,アディカラー クラシックス ベッケンバウアー トラックトップ（ジャージ）,13200,"XS, S, M, L, XL, 2XL, 3XL",https://shop.adidas.jp/products/IY8077
iconArrowCircleLeft戻る/トップ/メンズ/ウェア・服/トップス/ジャージ/オリジナルス/ベッケンバウアー/アディカラー クラシック/アディカラー クラシックス ベッケンバウアー トラックトップ（ジャージ）,オリジナルス,アディカラー クラシックス ベッケンバウアー トラックトップ（ジャージ）,13200,"XS, S, M, L, XL, 2XL, 3XL",https://shop.adidas.jp/products/IY8076/
iconArrowCircleLeft戻る/トップ/メンズ/ウェア・服/トップス/ジャージ/オリジナルス/ファイヤーバード/アディカラー クラシック/アディカラー クラシックス ファイヤーバード トラックトップ（ジャージ）,オリジナルス,アディカラー クラシックス ファイヤーバード トラックトップ（ジャージ）,13200,"XS, S, M, L, XL, 2XL, 3XL",https://shop.adidas.jp/products/IR9893/
iconArrowCircleLeft戻る/トップ/メンズ/ウェア・服/トップス/ジャージ/オリジナルス/ファイヤーバード/アディカラー ウーブン ファイヤーバード トラックトップ（ジャージ）,オリジナルス,アディカラー ウーブン ファイヤーバード トラックトップ（ジャージ）,14300,"2XS, XS, S, M, L, XL, 2XL, 3XL",https://shop.adidas.jp/products/IT2491/
iconArrowCircleLeft戻る/トップ/メンズ/ウェア・服/トップス/パーカー(フーディー)/スポーツウェア/エッセンシャルズ ビッグロゴ パーカー / Essentials Big Logo Hoodie,スポーツウェア,エッセンシャルズ ビッグロゴ パーカー / Essentials Big Logo Hoodie,3293,"XS, S, M, L, O (XL), XO (2XL), 2XO (3XL), 3XO (4XL), 4XO (5XL)",https://shop.adidas.jp/products/GK9541/
iconArrowCircleLeft戻る/トップ/メンズ/ウェア・服/トップス/ジャージ/オリジナルス/ファイヤーバード/ファイヤーバード クラシック モノトラックトップ（ジャージ）,オリジナルス,ファイヤーバード クラシック モノトラックトップ（ジャージ）,15400,"XS, S, M, L, XL, 2XL, 3XL",https://shop.adidas.jp/products/IS2925/
iconArrowCircleLeft戻る/トップ/メンズ/ウェア・服/トップス/ジャージ/オリジナルス/スプリングコレクション/プレミアム トラックトップ,オリジナルス,プレミアム トラックトップ,19800,"XS, S, M, L, XL, 2XL, 3XL",https://shop.adidas.jp/products/IS1416/
iconArrowCircleLeft戻る/トップ/メンズ/ウェア・服/トップス/ジャージ/オリジナルス/ベッケンバウアー/アディカラー クラシック/アディカラー クラシックス ベッケンバウアー トラックトップ（ジャージ）,オリジナルス,アディカラー クラシックス ベッケンバウアー トラックトップ（ジャージ）,13200,"XS, S, M, L, XL, 2XL, 3XL",https://shop.adidas.jp/products/IM4511/
